table,DATE,TABLE_NAME,TOTAL_ROWS_ADDED
SOURCE.LABSG_CLINTRAKPROXY.LABSAMPLE,9/19/2025,LABSAMPLE,170
SOURCE.CITELINE_ORGANIZATION.ORGANIZATION,9/19/2025,ORGANIZATION,46
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITEPERSONROLE,9/19/2025,STUDYSITEPERSONROLE,144
SOURCE.LABUS_CLINTRAKPROXY.STUDYEVENT,9/19/2025,STUDYEVENT,194
SOURCE.CITELINE_ORGANIZATIONTRIAL.ORGANIZATIONTRIALS,9/19/2025,ORGANIZATIONTRIALS,15
SOURCE.LABBE_CLINTRAKPROXY.LABSAMPLE,9/19/2025,LABSAMPLE,2170
SOURCE.LABBE_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,8
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYORGANIZATIONROLE,9/19/2025,STUDYORGANIZATIONROLE,49
SOURCE.LABSG_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,0
SOURCE.LABUS_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,7
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYREGSUBSETTINGS,9/19/2025,STUDYREGSUBSETTINGS,0
SOURCE.CITELINE_ORGANIZATIONHIERARCHY.ORGANIZATIONHIERARCHY,9/19/2025,ORGANIZATIONHIERARCHY,0
SOURCE.LABCN_CLINTRAKPROXY.SUBJECT,9/19/2025,SUBJECT,0
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.SITE,9/19/2025,SITE,4
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,5
SOURCE.LABBE_CLINTRAKPROXY.SUBJECT,9/19/2025,SUBJECT,30
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.PATIENT,9/19/2025,PATIENT,38
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITEMETRICSCALCULATED,9/19/2025,STUDYSITEMETRICSCALCULATED,8
SOURCE.LABUS_CLINTRAKPROXY.LABSAMPLE,9/19/2025,LABSAMPLE,928
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDY,9/19/2025,STUDY,0
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.PERSON,9/19/2025,PERSON,53
SOURCE.LABCN_CLINTRAKPROXY.STUDYEVENT,9/19/2025,STUDYEVENT,1
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.PATIENTVISIT,9/19/2025,PATIENTVISIT,713
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYCOUNTRYMILESTONES,9/19/2025,STUDYCOUNTRYMILESTONES,5
SOURCE.LABSG_CLINTRAKPROXY.STUDYEVENT,9/19/2025,STUDYEVENT,61
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.TYPE,9/19/2025,TYPE,14
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.ADDRESS,9/19/2025,ADDRESS,6
SOURCE.LABBE_CLINTRAKPROXY.STUDYEVENT,9/19/2025,STUDYEVENT,437
SOURCE.LABSG_CLINTRAKPROXY.SUBJECT,9/19/2025,SUBJECT,5
SOURCE.LABUS_CLINTRAKPROXY.SUBJECT,9/19/2025,SUBJECT,50
SOURCE.INTRANETPROJECTMANAGEMENT_INTRANETPROXY.STUDY,9/19/2025,STUDY,4
SOURCE.INTRANETPROJECTMANAGEMENT_INTRANETPROXY.PROPOSAL,9/19/2025,PROPOSAL,5
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITESTATUSHISTORY,9/19/2025,STUDYSITESTATUSHISTORY,9
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYORGANIZATIONROLECOUNTRY,9/19/2025,STUDYORGANIZATIONROLECOUNTRY,35
SOURCE.LABUS_CLINTRAKPROXY.STUDY,9/19/2025,STUDY,0
SOURCE.LABCN_CLINTRAKPROXY.LABSAMPLE,9/19/2025,LABSAMPLE,14
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITESTATUSHISTORY,9/18/2025,STUDYSITESTATUSHISTORY,70
SOURCE.LABUS_CLINTRAKPROXY.LABSAMPLE,9/18/2025,LABSAMPLE,7954
SOURCE.CITELINE_ORGANIZATIONTRIAL.ORGANIZATIONTRIALS,9/18/2025,ORGANIZATIONTRIALS,914
SOURCE.LABBE_CLINTRAKPROXY.STUDYEVENT,9/18/2025,STUDYEVENT,653
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.PATIENT,9/18/2025,PATIENT,306
SOURCE.LABCN_CLINTRAKPROXY.STUDYEVENTDEF,9/18/2025,STUDYEVENTDEF,24
SOURCE.LABCN_CLINTRAKPROXY.SUBJECT,9/18/2025,SUBJECT,12
SOURCE.CITELINE_ORGANIZATIONHIERARCHY.ORGANIZATIONHIERARCHY,9/18/2025,ORGANIZATIONHIERARCHY,1
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYREGSUBSETTINGS,9/18/2025,STUDYREGSUBSETTINGS,2
SOURCE.LABSG_CLINTRAKPROXY.LABSAMPLE,9/18/2025,LABSAMPLE,662
SOURCE.CITELINE_ORGANIZATION.ORGANIZATION,9/18/2025,ORGANIZATION,20
SOURCE.LABBE_CLINTRAKPROXY.LABSAMPLE,9/18/2025,LABSAMPLE,2258
SOURCE.LABUS_CLINTRAKPROXY.STUDYSITE,9/18/2025,STUDYSITE,19
SOURCE.LABUS_CLINTRAKPROXY.STUDYEVENT,9/18/2025,STUDYEVENT,2390
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.SITE,9/18/2025,SITE,12
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDY,9/18/2025,STUDY,2
SOURCE.LABCN_CLINTRAKPROXY.LABSAMPLE,9/18/2025,LABSAMPLE,104
SOURCE.LABBE_CLINTRAKPROXY.STUDYSITE,9/18/2025,STUDYSITE,3
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITEMETRICSCALCULATED,9/18/2025,STUDYSITEMETRICSCALCULATED,12
SOURCE.LABSG_CLINTRAKPROXY.STUDYSITE,9/18/2025,STUDYSITE,1
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYORGANIZATIONROLECOUNTRY,9/18/2025,STUDYORGANIZATIONROLECOUNTRY,43
SOURCE.LABCN_CLINTRAKPROXY.STUDY,9/18/2025,STUDY,0
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.PATIENTVISIT,9/18/2025,PATIENTVISIT,20120
SOURCE.LABSG_CLINTRAKPROXY.SUBJECT,9/18/2025,SUBJECT,22
SOURCE.INTRANETPROJECTMANAGEMENT_INTRANETPROXY.STUDY,9/18/2025,STUDY,14
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.ADDRESS,9/18/2025,ADDRESS,38
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYCLINOPSSETTINGS,9/18/2025,STUDYCLINOPSSETTINGS,2
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.TYPE,9/18/2025,TYPE,25
SOURCE.INTRANETPROJECTMANAGEMENT_INTRANETPROXY.PROPOSAL,9/18/2025,PROPOSAL,17
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.PERSON,9/18/2025,PERSON,168
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYORGANIZATIONROLE,9/18/2025,STUDYORGANIZATIONROLE,115
SOURCE.LABUS_CLINTRAKPROXY.STUDYEVENTDEF,9/18/2025,STUDYEVENTDEF,1
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYCOUNTRYMILESTONES,9/18/2025,STUDYCOUNTRYMILESTONES,7
SOURCE.LABBE_CLINTRAKPROXY.SUBJECT,9/18/2025,SUBJECT,76
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITE,9/18/2025,STUDYSITE,24
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYINDICATION,9/18/2025,STUDYINDICATION,1
SOURCE.LABCN_CLINTRAKPROXY.STUDYSITE,9/18/2025,STUDYSITE,0
SOURCE.LABSG_CLINTRAKPROXY.STUDY,9/18/2025,STUDY,0
SOURCE.LABUS_CLINTRAKPROXY.SUBJECT,9/18/2025,SUBJECT,471
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSPECIALTY,9/18/2025,STUDYSPECIALTY,1
SOURCE.LABCN_CLINTRAKPROXY.STUDYEVENT,9/18/2025,STUDYEVENT,43
SOURCE.LABSG_CLINTRAKPROXY.STUDYEVENT,9/18/2025,STUDYEVENT,204
SOURCE.LABBE_CLINTRAKPROXY.STUDY,9/18/2025,STUDY,0
SOURCE.LABUS_CLINTRAKPROXY.STUDY,9/18/2025,STUDY,1
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITEPERSONROLE,9/18/2025,STUDYSITEPERSONROLE,514
SOURCE.LABUS_CLINTRAKPROXY.STUDYEVENTDEF,9/17/2025,STUDYEVENTDEF,44
SOURCE.LABUS_CLINTRAKPROXY.STUDYEVENT,9/17/2025,STUDYEVENT,1645
SOURCE.LABUS_CLINTRAKPROXY.LABSAMPLE,9/17/2025,LABSAMPLE,7497
SOURCE.CITELINE_ORGANIZATIONTRIAL.ORGANIZATIONTRIALS,9/17/2025,ORGANIZATIONTRIALS,1126
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.PERSON,9/17/2025,PERSON,181
SOURCE.LABSG_CLINTRAKPROXY.LABSAMPLE,9/17/2025,LABSAMPLE,436
SOURCE.LABCN_CLINTRAKPROXY.STUDYSITE,9/17/2025,STUDYSITE,1
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.SITE,9/17/2025,SITE,2
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYORGANIZATIONROLE,9/17/2025,STUDYORGANIZATIONROLE,153
SOURCE.LABSG_CLINTRAKPROXY.STUDYSITE,9/17/2025,STUDYSITE,5
SOURCE.CITELINE_ORGANIZATION.ORGANIZATION,9/17/2025,ORGANIZATION,22
SOURCE.LABBE_CLINTRAKPROXY.STUDYEVENT,9/17/2025,STUDYEVENT,608
SOURCE.LABUS_CLINTRAKPROXY.SUBJECT,9/17/2025,SUBJECT,296
SOURCE.LABCN_CLINTRAKPROXY.STUDY,9/17/2025,STUDY,0
SOURCE.LABBE_CLINTRAKPROXY.STUDY,9/17/2025,STUDY,0
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.ADDRESS,9/17/2025,ADDRESS,20
SOURCE.LABSG_CLINTRAKPROXY.STUDYEVENT,9/17/2025,STUDYEVENT,103
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYREGSUBSETTINGS,9/17/2025,STUDYREGSUBSETTINGS,2
SOURCE.LABCN_CLINTRAKPROXY.LABSAMPLE,9/17/2025,LABSAMPLE,76